dataset cartas;carta1;carta2;carta3;energy;Pd;Pn
;23687;23617;60;;23617;7074
;21851;23158;55.51;;23158;7100
;20729;20705;58.35;;20705;7066
;21924;23129;55.42;;23129;7099
;22992;23438;55.15;;23438;7098
;23130;23144;54.66;;23144;7100
;23288;22832;59.95;;22832;7101
;23679;23031;63.45;;23031;7104
;23393;25026;68.2;;25026;7104
;25598;28070;59.11;;28070;7111
;24657;25124;60.16;;25124;7102
;24570;27530;63.2;;27530;7098
;21563;25852;56.29;;25852;7062
;24698;24863;62.4;;24863;5048
;25231;24138;67.98;;24138;5798
;26969;25123;68.98;;25123;6392
;25178;23174;61.48;;23174;6846
;22473;20830;62.12;;20830;5972
;23449;24197;61.54;;24197;5017
;26702;28704;71.71;;28704;5052
;25711;33637;60.84;;33637;6785
;26558;29329;72.89;;29329;7101
;25301;30649;68.18;;30649;7092
;24922;33368;60.14;;33368;7106
;26430;33630;67.01;;33630;7103
;27299;32835;68.74;;32835;7107
;27650;29917;77.81;;29917;7103
;28269;31855;79.83;;31855;7102
;27757;26379;85.72;;26379;7112
;25768;27449;81.67;;27449;6788
;25071;28723;73.71;;28723;7112
;26829;31501;84.18;;31501;7111
;26858;31744;91.2;;31744;7108
;27313;30474;96.34;;30474;7104
;27250;32592;71.33;;32592;7109
;27207;31484;64.34;;31484;7108
;25042;28155;67.98;;28155;7109
;24350;28700;61.19;;28700;7108
;25847;28483;63.64;;28483;7105
;21649;23848;68.55;;23848;7099
;25493;29792;46.24;;29792;7110
;25217;23715;43.42;;23715;7106
;23083;22594;42.62;;22594;7100
;21355;20567;41.81;;20567;7027
